46GP8	a person cooks food on a stove before looking out of a window 
N11GT	person at the bottom of the staircase shakes a blanket out folds it grabs a broom and walks down the hallway 
0IH69	a person is standing in a bedroom ; they walk over to a box on a shelf and touch it rearrange it 
0IH69	a person organizes something on the wall ; they look at it and keep fixing it 
KRF68	a person runs in and shuts door ; the person grabs a sweater and puts it on ; then grabs phone and walks out 
MJO7C	a person runs in place while holding a bottle and a phone 
S6MPZ	a person in a blue shirt is eating snacks off a glass table and having a conversation with somebody over the phone 
S6MPZ	the person sitting on the chair by the desk eating food making phone call finished with the phone hanged up the phone 
7HVU8	a person is walking down a hallway and tidying up by putting some clothes in a bag they then begin to brush themselves down 
MCQO5	a person just got inside a room to put on a shirt and drink from a bottle of water in a bedroom 
VPIYF	a person takes a phone off of a shelf and looks at it 
8WJIR	a person sitting on a bed watching a television drinking a cup of coffee ; the person stands up and proceeds to close the doors turns and goes back to the bed sits down and starts laughing and continues to drink the coffee 
8WJIR	a person sits on the bed watching television ; they sip a cup of coffee get up to close the closet then sit back down 
INQNU	a person is tidying up a bed they then sit down and take a drink from a glass then smile 
INQNU	the person is organizing something in the distance then takes a sip of a drink out of a cup 
LI6LV	a person holding a towel places it on a hook ; the person takes off a sweater and puts it down ; the person turns towards the sink picks up a bottle of medicine opens it and takes out a pill then picks up a glass of water used to take the pill 
LI6LV	a person folds a towel and puts in on a counter ; then they take off their jacket and put it down ; then they go to the sink and get some medicine and a glass of water ; they eat the medicine and drink the water 
MGCM8	a person is sitting at a desk working on the computer and yawning 
MGCM8	a person is sitting at a desk using a computer they yawn and rub their eyes 
I8QJN	a person laying on the floor stands and gets a drink 
I8QJN	a person is laying down and sleeping on the floor they awaken and serve themselves a glass of water to drink 
XC9EY	a person walks down a hallway holding a glass pausing to adjust a picture on the wall ; the person continues on putting a glass on a table 
DOQ9Y	person taking off jacket and hanging it up and then takes some things off the shelf before walking out and shutting the door 
DOQ9Y	a person takes a jacket off and puts it on a rack ; they take some groceries off a shelf and carry them ; they close a door 
RK9II	a person moping up a spill on a table 
QGQGZ	a person walks through a doorway and turns on a light ; a person grabs food off a shelf 
5S1WQ	a person throws a broom then picks it up and tidies up ; the person moves a chair to tidy under the desk 
5S1WQ	a person walks into a room picks up a broom and begins tidying the floor ; they pick up a chair to sweep the floor then put it back in place 
CUCBN	a person is sitting on a couch and looks into a bag that is on the table ; the person gets up from the couch and walks out of the room 
CUCBN	a person is sitting on the sofa playing with groceries than gets up 
SX0HE	a boy talking on a phone and drinking some water 
SX0HE	a person standing in the hallway drinking water and on the phone 
72JYK	a person is turning off a light and sitting down on a staircase ; the person opens a laptop and works on it while eating some food 
BDFDE	a person sits down on a chair and takes some medicine ; the person then drinks some water 
H6N4Z	a person is watching something on their phone while they are putting clothes on a shelf in the closet 
OBTP8	a person is walking opens a door and looks in the mirror before grabbing a box 
OBTP8	a person walks through a door and looks into a mirror ; they fix their shirt before grabbing a box off a bed 
4021N	a person walks into a laundry room carrying a pillow and places the pillow behind a trash can ; the person then grabs a box off of a shelf and picks something off of the floor and places it into the box 
ZSHWE	a person walks holding a book ; he undresses from a towel and shirt 
SFDTP	a person stretching walks up to a box and pulls a shirt out and hold it 
Q5EPP	a person is standing in the bathroom and opening a container of medicine ; they take some out of the package and swallow them 
SK6FW	a person takes off clothes and sings into a broom 
VHIG7	a person eats some food from a bowl while looking at something on their laptop 
0R6K4	a person looks at some clothes ; a person then takes a glass of water and starts drinking from it ; a person puts the glass on the table 
0R6K4	a person looks at a wardrobe in a closet then picks up a glass of water from a table and takes a drink then returns the glass to the table 
PSPMA	a person sitting in a chair watching television puts on shoes and then eats food 
MD41D	a person walks into a room and begins looking out a window they then snap a picture with a camera and leave 
SDXZ8	the person walks into the kitchen and starts to wash a plate ; the person puts the plate on a drying rack ; the person then walks over to grab a vacuum unwraps the chord and places the vacuum on the ground 
SDXZ8	a person washes some dishes in a sink they put the dish away ; they take a vacuum and put it on the floor 
S673O	person is lying on couch when she grabs a glass of water and takes a drink followed by eating food off a plate 
S673O	person lying on the couch sits up picks up a plate off the table and eats a bite 
U79C9	a person is sitting on some stairs taking off their shoes they then begin to snuggle with a blanket 
